category,no.,model sentence
性別平等 Gender Equality,1-1,"Gender equality is when people of all genders have equal rights, responsibilities and opportunities."
性別平等 Gender Equality,1-2,"Gender equality is not only a fundamental human right, but a necessary foundation for a peaceful, prosperous and sustainable world."
性別平等 Gender Equality,1-3,"There has been progress over the last decades: More girls are going to school, fewer girls are forced into early marriage, more women are serving in parliament and positions of leadership, and laws are being reformed to advance gender equality."
性別平等 Gender Equality,1-4,"Despite these gains, many challenges remain: discriminatory laws and social norms remain pervasive, women continue to be underrepresented at all levels of political leadership, and 1 in 5 women and girls between the ages of 15 and 49 report experiencing physical or sexual violence by an intimate partner within a 12-month period."
性別平等 Gender Equality,1-5,"In 2017, a study conducted by the World Economic Forum (WEF) found that women have only 68 percent of the rights, opportunities and access to resources enjoyed by the world’s men."
性別平等 Gender Equality,1-6,"In 18 countries, husbands can legally prevent their wives from working; in 39 countries, daughters and sons do not have equal inheritance rights; and 49 countries lack laws protecting women from domestic violence."
性別平等 Gender Equality,1-7,"While women have made important inroads into political office across the world, their representation in national parliaments at 23.7 percent is still far from parity."
性別平等 Gender Equality,1-8,Pushing for equal wages for the same positions at work and sharing household chores at home can help promote gender equality.
性別平等 Gender Equality,1-9,"Household chores and children’s care are every adult’s responsibility, but still done mainly by women in much of the world. The overload of household chores can increase women’s chances of mental illnesses, besides depressing their productivity at work, consequently affecting their salaries."
性別平等 Gender Equality,1-10,Get some help and support if you know a friend or acquaintance is suffering from domestic violence or other abuse.
性別平等 Gender Equality,1-11,"Those responsible for children and teens need support in every society. Offering the bus seat to a pregnant woman, advocating the installation of children’s changing rooms in all bathrooms in shopping centers (not only in the women’s facilities) and asking that companies guarantee maternity and paternity leave are all necessary actions."
性別平等 Gender Equality,1-12,"Value, stimulate and hire diverse teams. Research showed that the more diverse the workforce is, the better the company’s performance on measures related to innovation is."
性別平等 Gender Equality,1-13,"It is important to observe and support companies that pay the same salary, benefits and bonuses to employees with equivalent positions."
性別平等 Gender Equality,1-14,"Employees must have a safe channel to report bullying, sexual harassment and racism without being exposed or dismissed."
人權 Human Rights,2-1,"Human rights are rights inherent to all human beings, regardless of race, sex, nationality, ethnicity, language, religion, or any other status."
人權 Human Rights,2-2,"Human rights include the right to life and liberty, freedom from slavery and torture, freedom of opinion and expression, the right to work and education, and many more."
人權 Human Rights,2-3,Human rights cover virtually every area of human activity.
人權 Human Rights,2-4,"They include civil and political rights, which refer to a person’s rights to take part in the civil and political life of their community without discrimination or oppression. These include rights and freedoms such as the right to vote, the right to privacy, freedom of speech and freedom from torture."
人權 Human Rights,2-5,"They also include economic, social and cultural rights, which relate to a person’s rights to prosper and grow and to take part in social and cultural activities. This group includes rights such as the right to health, the right to education and the right to work."
人權 Human Rights,2-6,"Everyone is entitled to these rights, without discrimination."
人權 Human Rights,2-7,Every person has dignity and value. One of the ways that we recognise the fundamental worth of every person is by acknowledging and respecting their human rights.
人權 Human Rights,2-8,Governments have a particular responsibility to ensure that people are able to enjoy their rights. They are required to establish and maintain laws and services that enable people to enjoy a life in which their rights are respected and protected.
環保 Environmental Protection,3-1,An environment is the natural surrounding or habitat which helps in existence or survival of life on planet earth.
環保 Environmental Protection,3-2,"The environment provides us with lots of natural resources like water, minerals, and natural vegetation which help in sustaining the life of humans, plants, and animals."
環保 Environmental Protection,3-3,We have to protect and conserve natural resources as they are essential for providing a greener and cleaner environment to living creatures.
環保 Environmental Protection,3-4,Protecting the environment is everyone's responsibility.
環保 Environmental Protection,3-5,"We are using up our natural resources and at the same time polluting our environment with dangerous chemicals. If we continue to do this, life on earth cannot survive."
環保 Environmental Protection,3-6,"Governments of many countries have established laws to protect the air, forests and sea resources and to stop environmental pollution."
環保 Environmental Protection,3-7,We have to limit the consumption of natural resources and should try to be dependent on renewable resources if we want to save the earth.
環保 Environmental Protection,3-8,We should stop using plastic or poly bags and be dependent on more eco-friendly products to save the environment.
環保 Environmental Protection,3-9,"We should conserve clean water by changing our habits in daily routine like putting a limitation on the use of water in cooking, bathing, cleaning, etc."
環保 Environmental Protection,3-10,We should use public transport like buses and metros or carpooling rather than self-driving for conserving oil.
環保 Environmental Protection,3-11,"The three R’s of waste management ‘Reduce, Reuse and Recycle’ conserve natural resources, eliminate waste and protect the environment."
環保 Environmental Protection,3-12,"As an ordinary citizen, we can form a group of volunteers to promote the concept of Reduce, Reuse and Recycle in society."
環保 Environmental Protection,3-13,"Government, as well as common people and NGOs, must join hands to save the environment."
環保 Environmental Protection,3-14,"Alternative resources like hydropower, solar power must be used instead of fossil fuel."
環保 Environmental Protection,3-15,Always buy recycled products for your houses and offices and never use plastic or polythene.
環保 Environmental Protection,3-16,Driving less and walking or cycling more will also help save the environment and revive it.
環保 Environmental Protection,3-17,Using organic fertilizers and saying no to chemical fertilizers and pesticides will save the environment.
環保 Environmental Protection,3-18,"Planting more trees and standing against deforestation, will also help save the environment."
環保 Environmental Protection,3-19,We have to save the environment for us as well as for future generations.
環保 Environmental Protection,3-20,"If everyone could make some contributions to environmental protection, our home will become much more beautiful."
海洋 Ocean,4-1,"The ocean, covering more than 70% of the Earth's surface, plays a crucial role in regulating the planet's climate and weather patterns."
海洋 Ocean,4-2,"Ocean resources, such as fish and marine plants, provide a significant source of food for millions of people worldwide."
海洋 Ocean,4-3,Sustainable fishing practices are essential to ensure the long-term availability of ocean resources and maintain the delicate marine ecosystem.
海洋 Ocean,4-4,"The ocean's biodiversity is incredibly diverse and contains countless species yet to be discovered, making it a treasure trove of potential scientific knowledge."
海洋 Ocean,4-5,"Coral reefs, often referred to as the ""rainforests of the sea,"" are vital habitats for numerous marine species and contribute significantly to coastal protection."
海洋 Ocean,4-6,"Oceans act as the Earth's largest carbon sink, absorbing and storing vast amounts of carbon dioxide, helping to mitigate the impacts of climate change."
海洋 Ocean,4-7,"Maintaining a healthy ocean ecosystem is crucial for supporting not just marine life, but also terrestrial life that depends on the ocean for survival."
海洋 Ocean,4-8,"Ocean currents play a pivotal role in distributing heat around the globe, influencing weather patterns and climate systems."
海洋 Ocean,4-9,"Plastic pollution poses a severe threat to marine life, with millions of tons of plastic waste entering the ocean each year."
海洋 Ocean,4-10,Initiatives aimed at reducing single-use plastic and promoting recycling are vital to preserving the health and cleanliness of our oceans.
海洋 Ocean,4-11,"Overfishing is depleting fish populations and disrupting the balance of marine ecosystems, emphasizing the need for sustainable fishing practices and fishery management."
海洋 Ocean,4-12,"The ocean is a vast reservoir of potential renewable energy sources, such as wave and tidal power, which could contribute to a cleaner and more sustainable future."
